video_id,publish_date,passive_voice_count,relative_frequency,vvn_strings
hW7iR5iBfrQ,20231110,8,0.2536461636017755,"wounded, mared, targeted, started, caused, killed, murdered, quoted"
IlqFJmKgkQ0,20240105,7,0.234192037470726,"worked, limited, done, withdrawn, carried, concerned, encountered"
uVbs-3av77E,20231114,6,0.24106066693451184,"devastated, committed, killed, defined, banned, created"
Qjvi1JD_OsE,20231012,4,0.3303055326176713,"scheduled, abducted, abducted, scheduled"
vc6olTfIb7o,20240317,0,0.0,
eAmAomEt9qA,20240108,1,0.07363770250368189,recorded
vXflBsxd6as,20240325,0,0.0,
wZy9nSnDeME,20240414,0,0.0,
mHnGNImxolI,20231127,1,0.14792899408284024,attacked
keANY7X6oKI,20240517,11,2.1653543307086616,"presumed, seen, killed, taken, murdered, transferred, completed, recovered, presumed, identified, taken"
0ty8qaFBK-k,20231030,20,0.9099181073703366,"confirmed, found, located, taken, relieved, dashed, abducted, evacuated, evacuated, taken, worried, found, kidnapped, found, kidnapped, murdered, murdered, taken, taken, allowed"
9uLG_9kDAQs,20231015,5,0.5720823798627002,"made, made, shot, killed, killed"
1jZDRjR7zck,20231103,6,0.5263157894736842,"viewed, published, taken, prohibited, prohibited, committed"
QSolxH97vhE,20231112,0,0.0,
QHw-qHongT0,20240426,7,1.0115606936416186,"harassed, prohibited, repeated, deemed, located, broken, broken"
eZziwjKVn1E,20240208,2,0.21953896816684962,"carried, taken"
oBXYkljqmKk,20240424,3,0.2643171806167401,"postponed, flagged, made"
Iuqh5sCASyE,20240113,1,0.15037593984962408,born
wuKAvpcUPDQ,20231121,8,0.15258439824527942,"abducted, forced, liberated, carried, talked, built, kidnapped, committed"
OKjW2Ahd1fo,20240906,1,0.14749262536873156,expected
hh1ehe3GjTw,20231011,9,0.2499305748403221,"hoped, cut, broken, represented, preceded, chased, beaten, stated, established"
PdUFGWWh6Uw,20240209,0,0.0,
Uxmbq3ouoE8,20231119,1,0.10101010101010101,done
LAJNbrGeiYI,20240728,0,0.0,
I8ZQHGcPYh8,20231206,3,0.20847810979847115,"released, held, exposed"
ofY1__7U4EE,20231025,5,0.2506265664160401,"received, shocked, refused, misinterpreted, involved"
Ug1S32X1BZQ,20240528,11,0.46590427784836935,"killed, killed, displaced, reduced, displaced, hit, killed, carried, used, used, crossed"
WUH4pgLAkuQ,20240812,4,0.5763688760806917,"freed, scheduled, made, heard"
kAZ5kg4c-l0,20240526,2,0.5813953488372093,"launched, launched"
fkSdFgX7pXw,20240731,15,0.294521892794031,"assassinated, killed, targeted, connected, pictured, born, found, crossed, assassinated, killed, targeted, established, accused, done, killed"
IGlBIACbkb8,20240228,2,0.21598272138228944,"described, told"
_OYKHiy5MoA,20240209,3,0.25510204081632654,"killed, displaced, left"
DaboSLKSkwA,20231125,2,0.29895366218236175,"received, made"
i3m7j0ei2Ag,20240428,3,0.3105590062111801,"terrorized, released, taken"
jzVmPqgd8YY,20231231,5,0.38197097020626436,"killed, forced, destroyed, destroyed, put"
uA4WUBoqyaM,20240825,4,0.4305705059203444,"stalled, described, done, proposed"
vX6HSBwfIO8,20231014,8,0.8948545861297539,"aired, flooded, viewed, published, uploaded, hacked, uploaded, published"
BDBRaXV00kI,20240303,1,0.1694915254237288,killed
OSgsjVD-Nr4,20240727,4,0.8130081300813009,"killed, displaced, taken, fatigued"
YEk0Xf85gOU,20231012,15,0.36319612590799033,"Riven, evacuated, viewed, perpetrated, exposed, taken, orchestrated, swapped, exchanged, done, done, left, forced, forced, covered"
_zKg3mQcgeY,20231022,2,0.1563721657544957,"caused, formed"
zbN-8YosB3k,20240223,1,0.09049773755656108,involved
ktSgTu2G2bQ,20231121,8,0.2918642831083546,"angered, trapped, brought, reassured, committed, criticized, struck, taken"
l6M0envDMHw,20240518,20,2.710027100271003,"seen, declared, found, killed, murdered, transferred, completed, recovered, recovered, done, recovered, taken, thought, confirmed, killed, recovered, recovered, killed, targeted, targeted"
oRODZvbHv-I,20240613,3,0.3640776699029126,"known, displaced, made"
AwQbPcq6HVo,20240620,5,0.13758943313153552,"killed, alarmed, conveyed, conveyed, released"
2GVgqBO6QpU,20240826,2,0.13764624913971094,"fired, launched"
dYGYPuvRu38,20240426,9,0.395778364116095,"negotiated, told, told, implemented, achieved, taken, killed, killed, directed"
aP-6otrFtcY,20240113,3,0.26833631484794274,"disrupted, killed, seized"
ubG660g_-6k,20240110,2,0.13783597518952445,"displaced, planned"
yRsTAfLJDmU,20231101,0,0.0,
aaK8rKP9_zQ,20240518,1,0.11507479861910241,built
tdRLi1b8xLc,20231227,1,0.0784313725490196,held
QSkmMuDOlvE,20231012,2,0.3139717425431711,"caught, killed"
AF0ShxWuFBs,20240701,3,0.24793388429752067,"arrested, used, reduced"
BoxuWaPWe6E,20231016,6,0.42704626334519574,"shut, reached, displaced, distributed, told, reported"
1tKi9nkGj8A,20231016,1,0.09551098376313276,pointed
wyQRMO7GVjY,20240729,4,0.1896633475580844,"founded, involved, hackled, asked"
SLnQgWAVORk,20240422,5,0.29411764705882354,"shot, developed, shot, abandoned, reported"
5KDRAswRj1I,20231229,2,0.4357298474945534,"repeated, wounded"
lr1ZPInPg3k,20231113,2,0.16299918500407498,"set, used"
7NAIzzHUpKk,20231201,10,0.46641791044776115,"negotiated, released, attacked, released, involved, told, postponed, released, released, captured"
5BXTWqKzzJY,20240621,1,0.08880994671403197,founded
wXRVYx-wvXE,20240128,1,0.14144271570014144,taken
bQRn4O8Oriw,20240522,9,0.6944444444444444,"shot, shot, hit, called, killed, imposed, followed, sanctioned, imposed"
sCkDCL4BeMI,20231212,7,0.22158911047799934,"attacked, seen, walked, seen, scrapped, closed, displaced"
yg1e9TLUrBo,20231025,2,0.1004016064257028,"learned, pulled"
r0osIaF7OK0,20240816,4,0.2039775624681285,"hit, killed, caught, involved"
CUey-z976MM,20231207,7,0.5838198498748958,"seen, born, exchanged, made, set, killed, wounded"
m0HPMTX9-F8,20240112,1,0.11454753722794961,presented
iqsm22xbq5Q,20231020,1,0.09652509652509653,described
BhHPVW0ljVI,20240131,4,0.2785515320334262,"called, framed, condemned, occupied"
C7cVUnr0Hs4,20231110,0,0.0,
EbUO7jvJlzA,20231102,12,0.3325020781379884,"published, damaged, trained, destroyed, taken, allowed, killed, limited, evacuated, evacuated, taken, worried"
0hKLeO3XnaQ,20231119,2,0.2808988764044944,"evacuated, hit"
zg_9QIwaQys,20231221,2,0.17050298380221654,"delayed, agreed"
Tv0YpPKabHM,20240405,1,0.1366120218579235,killed
lncnrMoHxRg,20240806,1,0.07861635220125787,kidnapped
c1UcuvZUhfU,20240612,4,0.2373887240356083,"planned, requested, reaffirmed, committed"
thHtXPt635w,20231205,8,0.33798056611744826,"sold, sent, sent, highlighted, highlighted, included, asked, sent"
0Fv1ho5QQVo,20240717,6,0.6362672322375398,"killed, struck, assassinated, shot, used, eliminated"
wo7klBV4CO8,20240505,3,0.1892744479495268,"echoed, negotiated, injured"
w-woVqnaTi4,20231126,4,0.4250797024442083,"handed, sentenced, accused, heightened"
fWVomYSMulA,20231205,2,0.09514747859181732,"estimated, proven"
HZl4Hs5Inzs,20231208,5,1.1441647597254003,"insided, attacked, murdered, murdered, killed"
BW9-Ri_XDlE,20240414,4,0.15527950310559005,"improved, delivered, heard, saved"
wDW1eaD5ZNg,20231202,0,0.0,
JdEWf-ToY-U,20231124,7,0.2008032128514056,"held, released, released, freed, released, expected, proven"
nfAa7aH6tWc,20240507,3,0.16583747927031509,"understood, done, reported"
ewHbGEFZvYw,20240507,1,0.054884742041712405,displaced
gZnUEta1jgU,20240414,15,0.34498620055197793,"fired, intercepted, heard, told, launched, intercepted, given, determined, broken, said, launched, fired, crossed, launched, attacked"
W3LdgWcqRYQ,20240415,5,0.1798561151079137,"attacked, eroded, put, shut, struck"
vRJz28p1G2s,20240827,4,0.4282655246252677,"found, held, killed, recovered"
dKAwxCUjB2E,20240731,20,0.3275466754012447,"stalled, considered, seen, shot, seen, killed, founded, arrested, exiled, seen, killed, shocked, shocked, assassinated, killed, hit, used, expected, confirmed, killed"
RQlb9xapHRE,20240625,2,0.1386001386001386,"limited, cancelled"
z-9x4UkzGrg,20240530,0,0.0,
PsK1_bGIBTs,20231015,2,0.19212295869356388,"mutilated, pushed"
jdK4JwE5v28,20231102,6,0.22246941045606228,"evacuated, destroyed, taken, allowed, killed, killed"
8a8-3Je3J7w,20240520,3,0.2843601895734597,"committed, announced, issued"
_bI_JDv1W5A,20240409,1,0.0546448087431694,brought
nxLsbaczRh8,20240516,2,0.11799410029498525,"destroyed, put"
,,9,0.2867155144950621,"sent, taken, taken, quoted, backed, faced, issued, made, withheld"
I1BU6Ato41Q,20240220,3,0.33707865168539325,"annexed, brought, asked"
k_LeWdP6gEc,20240525,12,0.26749888542131073,"sent, taken, taken, quoted, backed, faced, defied, made, announced, condemned, meant, meant"
NctJ0atYSwg,20240719,1,0.1148105625717566,built
T4LGcewprks,20240827,7,1.0510510510510511,"freed, described, rescued, found, found, killed, met"
