video_id,publish_date,total_term_count,total_word_count,israel,gaza,hamas,people,israeli,know,war,think,hostages,iran,israel_relative,gaza_relative,hamas_relative,people_relative,israeli_relative,know_relative,war_relative,think_relative,hostages_relative,iran_relative
_Uzi8jSAkE4,20240817,93,1632,21,14,14,3,9,1,7,14,5,5,12867.647058823528,8578.431372549021,8578.431372549021,1838.235294117647,5514.705882352941,612.7450980392157,4289.2156862745105,8578.431372549021,3063.725490196078,3063.725490196078
kQhahxoGMl0,20240105,179,2407,59,19,12,4,10,42,11,20,2,0,24511.840465309513,7893.643539675945,4985.45907769007,1661.8196925633567,4154.549231408392,17449.106771915245,4570.004154549232,8309.098462816784,830.9098462816784,0.0
QKweW3yiG-U,20240818,57,938,20,7,4,3,12,3,5,1,0,2,21321.961620469083,7462.686567164179,4264.392324093817,3198.2942430703624,12793.17697228145,3198.2942430703624,5330.490405117271,1066.0980810234541,0.0,2132.1961620469083
6CVqQiPDJzM,20240109,129,2702,34,27,3,8,15,8,20,1,9,4,12583.271650629164,9992.598075499629,1110.2886750555144,2960.7698001480385,5551.443375277572,2960.7698001480385,7401.924500370096,370.0962250185048,3330.8660251665433,1480.3849000740192
J208Jszbnp0,20240611,36,729,11,5,4,1,5,1,5,0,4,0,15089.163237311384,6858.710562414266,5486.968449931413,1371.7421124828531,6858.710562414266,1371.7421124828531,6858.710562414266,0.0,5486.968449931413,0.0
XxCOzdpwKX8,20231103,118,3317,20,34,5,17,5,23,10,2,2,0,6029.5447693699125,10250.226107928851,1507.3861923424781,5125.1130539644255,1507.3861923424781,6933.9764847753995,3014.7723846849563,602.9544769369912,602.9544769369912,0.0
8HPzQxnqNz0,20231016,59,1036,16,6,8,0,7,5,6,10,0,1,15444.015444015444,5791.505791505791,7722.007722007722,0.0,6756.756756756758,4826.254826254826,5791.505791505791,9652.509652509652,0.0,965.2509652509652
XDAVCAoFuto,20240429,47,1236,10,10,11,2,1,3,7,1,2,0,8090.6148867313905,8090.6148867313905,8899.676375404531,1618.1229773462785,809.0614886731393,2427.1844660194174,5663.430420711975,809.0614886731393,1618.1229773462785,0.0
cAW0jx0WDOA,20240819,55,958,14,9,10,4,7,5,1,0,4,1,14613.778705636743,9394.572025052192,10438.413361169101,4175.36534446764,7306.889352818372,5219.206680584551,1043.84133611691,0.0,4175.36534446764,1043.84133611691
0rdutewdOB8,20240107,37,820,9,5,3,2,2,2,6,7,1,0,10975.60975609756,6097.5609756097565,3658.536585365854,2439.0243902439024,2439.0243902439024,2439.0243902439024,7317.073170731708,8536.58536585366,1219.5121951219512,0.0
MNl2XPJI1kc,20240205,37,948,12,9,7,2,3,1,1,0,2,0,12658.227848101265,9493.67088607595,7383.966244725739,2109.7046413502107,3164.5569620253164,1054.8523206751054,1054.8523206751054,0.0,2109.7046413502107,0.0
NC0G3GwQgTM,20240321,41,976,10,9,7,1,1,1,2,2,8,0,10245.901639344262,9221.311475409835,7172.131147540984,1024.5901639344263,1024.5901639344263,1024.5901639344263,2049.1803278688526,2049.1803278688526,8196.72131147541,0.0
-SfSJIFcFsU,20231106,65,1385,19,7,6,1,5,1,4,13,3,6,13718.411552346572,5054.151624548736,4332.129963898917,722.0216606498194,3610.1083032490974,722.0216606498194,2888.0866425992776,9386.281588447653,2166.0649819494583,4332.129963898917
yXWX1P6Lc98,20240429,121,1793,34,13,27,4,18,4,6,4,11,0,18962.632459564975,7250.418293363078,15058.561070831009,2230.897936419409,10039.04071388734,2230.897936419409,3346.3469046291134,2230.897936419409,6134.9693251533745,0.0
fHDZbWWX-as,20240725,56,1211,18,5,3,0,6,8,7,5,3,1,14863.748967795209,4128.819157720892,2477.291494632535,0.0,4954.58298926507,6606.110652353426,5780.346820809248,4128.819157720892,2477.291494632535,825.7638315441783
MUPktKGykPY,20240730,38,911,20,0,0,0,8,5,5,0,0,0,21953.896816684963,0.0,0.0,0.0,8781.558726673986,5488.474204171241,5488.474204171241,0.0,0.0,0.0
YfCVbWKaqHQ,20240205,52,1290,13,4,5,0,4,8,3,5,5,5,10077.519379844962,3100.7751937984494,3875.968992248062,0.0,3100.7751937984494,6201.550387596899,2325.5813953488373,3875.968992248062,3875.968992248062,3875.968992248062
GQVgo-d8I_Q,20240818,52,796,15,10,11,3,5,0,5,1,1,1,18844.221105527635,12562.81407035176,13819.095477386936,3768.8442211055276,6281.40703517588,0.0,6281.40703517588,1256.2814070351758,1256.2814070351758,1256.2814070351758
vhIw-_FHGYg,20231028,29,574,9,3,4,4,2,2,4,1,0,0,15679.442508710801,5226.480836236934,6968.641114982578,6968.641114982578,3484.320557491289,3484.320557491289,6968.641114982578,1742.1602787456445,0.0,0.0
UFKgle1hpyA,20240417,47,665,20,0,0,0,4,6,2,1,0,14,30075.18796992481,0.0,0.0,0.0,6015.037593984963,9022.556390977445,3007.5187969924814,1503.7593984962407,0.0,21052.631578947367
j5t7IF4yxQM,20240626,609,14629,136,15,23,97,49,73,95,75,2,44,9296.602638594572,1025.3605851391071,1572.2195638799647,6630.665117232894,3349.5112447877505,4990.088181010322,6493.95037254768,5126.802925695536,136.7147446852143,3007.7243830747148
yIlEUF5Iqwc,20240207,48,1482,14,6,4,8,3,2,3,8,0,0,9446.693657219974,4048.582995951417,2699.055330634278,5398.110661268556,2024.2914979757086,1349.527665317139,2024.2914979757086,5398.110661268556,0.0,0.0
