file_name,video_id,publish_date,total_word_count,Lemma_genocide,Lemma_Israel,Lemma_Gaza,Lemma_Hamas,Lemma_War,Lemma_Hostages,Lemma_Iran,Lemma_Palestine,Lemma_Aid,Lemma_Military,Token_Palestinians,Token_Israelis,Lemma_Palestinian,Lemma_Israeli,Lemma_Humanitarian,Lemma_Ceasefire,Lemma_Rafa,Lemma_Netanyahu,Lemma_Hospital,Lemma_Children,Lemma_Minister,Lemma_Attack,Lemma_Killed,Lemma_Hezbollah,Lemma_Civilians,Lemma_Lebanon,Lemma_Terrorist,Lemma_terror,Lemma_Westbank,Lemma_Egypt,Lemma_Support,Lemma_Biden,Lemma_Court,Lemma_Food,Lemma_Water,Lemma_Electricity,Lemma_Health,Lemma_Negotiations,Lemma_Militia,Lemma_Family,Lemma_Hostage,Lemma_Refugee,Lemma_Protest,Lemma_Islamic,Lemma_unra,Lemma_Unrwa,Lemma_Diplomatic,Lemma_Jewish,Lemma_Suffering,Lemma_Casualties,Lemma_Death,Lemma_Militant,Lemma_Soldiers,Lemma_Human,Lemma_Prisoners,Lemma_Escalation,Lemma_Fuel,Lemma_Supplies,Lemma_Civilian,Lemma_idf,Lemma_Displace,Lemma_UN,Lemma_Israeli Government,Lemma_October 7th,Lemma_United states,Lemma_Evacuate corridor,Lemma_Terror attacks,Lemma_Release hostages,Lemma_United Nations,Lemma_Israeli military
at least 19 killed in israeli strike on gaza ‘safe zone’ for displaced people  bbc news_treetagger_output.txt,sJ_BKB_5jDE,20240910,362,0,2,3,4,1,0,0,0,0,1,0,0,0,4,2,0,1,0,1,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
at least 29 palestinians killed in airstrike on camp for displaced people  bbc news_treetagger_output.txt,9tOG4qvl79E,20240710,367,0,0,4,2,0,0,0,0,0,1,0,1,0,3,0,0,0,0,0,3,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baby contracts gaza's first case of polio in 25 years  bbc news_treetagger_output.txt,o1AcVf-rZY8,20240823,694,0,3,7,5,1,1,0,0,0,1,0,1,0,6,1,6,0,2,0,0,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
baby saved from dead mother's womb in gaza dies  bbc news_treetagger_output.txt,1YageCpNr2U,20240426,360,0,1,2,1,1,0,0,0,0,0,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bbc exclusive  us doctor’s shocking video from frontline hospital in gaza  bbc news_treetagger_output.txt,KQSuV4cWUQc,20240428,739,0,7,6,2,9,0,0,0,2,1,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0
bbc follows red crescent paramedics during first month of israel-gaza war  bbc news_treetagger_output.txt,dMoOo21FRxs,20240213,512,0,0,2,0,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bbc goes inside al-shifa hospital with the israeli army -bbc news_treetagger_output.txt,qNzWbP64Nmw,20231116,927,0,11,12,7,0,1,0,0,0,6,0,0,0,8,1,0,0,0,14,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
bbc investigation israeli troops accused of beating and humiliating gaza hospital staff  bbc news_treetagger_output.txt,rnU3mMMqNm0,20240313,1173,0,10,2,2,3,2,0,0,0,0,0,3,1,12,1,0,0,0,17,1,2,0,2,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
bbc investigation suggests dozens of civilians killed during israeli hostage rescue   bbc news_treetagger_output.txt,FlJN-F1yObY,20240221,519,0,1,1,3,1,3,0,0,0,3,0,0,0,2,0,0,2,0,3,3,0,0,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
bbc reporter reveals emotional toll of covering war in gaza  bbc news_treetagger_output.txt,1uqbrJflL3c,20240429,407,0,2,5,1,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bbc verify looks at how rafah became home to 1_treetagger_output.txt,,,274,0,2,1,0,0,1,0,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
benjamin netanyahu defends gaza war as protesters rally outside us congress  bbc news_treetagger_output.txt,U6WOqomoCfI,20240725,471,0,5,2,3,3,2,0,0,0,0,0,0,1,2,0,1,0,5,0,0,2,0,1,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biden seeks war aid for israel and ukraine from congress - bbc news_treetagger_output.txt,0k2QA9YFNok,20231020,796,0,12,4,2,0,0,0,0,8,2,1,0,0,5,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,1,1,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
biden warns israel against rafah assault without protecting civilians  bbc news_treetagger_output.txt,C0WE3w83PZ4,20240211,529,1,10,6,3,3,0,0,0,1,1,1,0,2,0,0,0,3,1,0,0,2,2,0,0,4,0,2,0,0,2,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
biden warns israel gaza hospital must be protected” - bbc news_treetagger_output.txt,Xz4HJpdKK-k,20231113,489,0,5,4,5,3,3,0,0,0,1,0,0,0,6,0,0,0,0,12,3,0,0,1,0,0,0,0,2,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
biggest coalition aid airdrop into gaza marks end of ramadan  bbc news_treetagger_output.txt,pPjGTh9SQ-s,20240410,514,0,2,9,0,0,0,0,0,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
breaking iran launches “mass drone and missile attack” on israel  bbc news_treetagger_output.txt,CPyk69APB28,20240413,763,0,15,0,0,1,0,7,0,0,1,0,2,0,5,0,0,0,1,0,0,1,17,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
breaking israel may have used us-supplied weapons in breach of international law in gaza  bbc news_treetagger_output.txt,pgPUesOIgm0,20240510,328,0,3,2,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
british teen missing in hamas attack confirmed dead - bbc news_treetagger_output.txt,nwTjTYlf-4U,20231017,647,0,4,1,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
