file_name,video_id,publish_date,total_word_count,Lemma_genocide,Lemma_Israel,Lemma_Gaza,Lemma_Hamas,Lemma_War,Lemma_Hostages,Lemma_Iran,Lemma_Palestine,Lemma_Aid,Lemma_Military,Token_Palestinians,Token_Israelis,Lemma_Palestinian,Lemma_Israeli,Lemma_Humanitarian,Lemma_Ceasefire,Lemma_Rafa,Lemma_Netanyahu,Lemma_Hospital,Lemma_Children,Lemma_Minister,Lemma_Attack,Lemma_Killed,Lemma_Hezbollah,Lemma_Civilians,Lemma_Lebanon,Lemma_Terrorist,Lemma_terror,Lemma_Westbank,Lemma_Egypt,Lemma_Support,Lemma_Biden,Lemma_Court,Lemma_Food,Lemma_Water,Lemma_Electricity,Lemma_Health,Lemma_Negotiations,Lemma_Militia,Lemma_Family,Lemma_Hostage,Lemma_Refugee,Lemma_Protest,Lemma_Islamic,Lemma_unra,Lemma_Unrwa,Lemma_Diplomatic,Lemma_Jewish,Lemma_Suffering,Lemma_Casualties,Lemma_Death,Lemma_Militant,Lemma_Soldiers,Lemma_Human,Lemma_Prisoners,Lemma_Escalation,Lemma_Fuel,Lemma_Supplies,Lemma_Civilian,Lemma_idf,Lemma_Displace,Lemma_UN,Lemma_Israeli Government,Lemma_October 7th,Lemma_United states,Lemma_Evacuate corridor,Lemma_Terror attacks,Lemma_Release hostages,Lemma_United Nations,Lemma_Israeli military
"104 civilians killed trying to access food aid trucks in gaza, palestinian health ministry says_treetagger_output.txt",ywOzeZl7uIU,20240229,586,0,0,5,1,0,0,0,0,8,7,0,0,2,11,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"300,000 israeli troops stand at ready after hamas attack_treetagger_output.txt",WeuvIUopgGg,20231011,509,0,8,4,2,2,0,0,0,0,6,0,1,0,5,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85-year-old grandmother freed by hamas describes being kidnapped_treetagger_output.txt,dCgI8OoeZF8,20231024,1850,0,6,10,18,3,14,0,0,1,5,0,1,0,7,1,0,0,1,1,1,3,4,5,0,0,0,1,1,0,0,3,0,0,2,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
alleged leaked netanyahu audio reveals he might be angry with the us_treetagger_output.txt,r9c0117-HNc,20240126,425,0,2,1,1,1,3,0,0,0,1,0,1,0,5,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
american nurse who got out of gaza describes desperation she saw_treetagger_output.txt,gk7iWgCk14U,20231107,1608,0,1,11,0,1,0,0,0,0,0,1,0,1,2,0,0,0,0,5,4,0,1,2,0,2,0,0,0,0,0,0,0,0,3,8,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0
analyst how hamas is using cryptocurrency to raise funds_treetagger_output.txt,IfWjwKl-CA8,20231014,782,0,1,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
analyst weighs in on hamas hostage video release_treetagger_output.txt,-81vCffWq6k,20231017,809,0,3,1,8,1,9,2,0,0,3,0,0,1,4,0,0,0,0,0,1,0,2,2,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
anderson cooper had a realization about a hostage during a live interview with his parents_treetagger_output.txt,5QqFweh3CC4,20231024,1671,0,0,2,4,0,6,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"anderson cooper's connection to the parents of hostage hersh goldberg-polin, who was killed by hamas_treetagger_output.txt",jEW8H34zEGw,20240904,1583,0,3,4,5,0,14,0,0,0,0,0,1,0,10,0,0,0,2,0,3,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,2,1,0,4,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"at least 45 dead as israel strikes rafah, gazan officials say_treetagger_output.txt",dsnvUjPrC3g,20240527,1076,0,14,5,3,1,0,0,0,0,6,0,0,2,2,0,2,0,0,0,2,1,3,1,0,10,0,0,0,0,0,1,4,2,0,0,0,3,1,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
