file_name,video_id,publish_date,total_word_count,Lemma_Israel,Lemma_Gaza,Lemma_Hamas,Lemma_War,Lemma_Hostages,Lemma_Iran,Lemma_Palestine,Lemma_Aid,Lemma_Military,Token_Palestinians,Token_Israelis,Lemma_Palestinian,Lemma_Israeli,Lemma_Humanitarian,Lemma_Ceasefire,Lemma_Rafa,Lemma_Netanyahu,Lemma_Hospital,Lemma_Children,Lemma_Minister,Lemma_Attack,Lemma_Killed,Lemma_Hezbollah,Lemma_Civilians,Lemma_Lebanon,Lemma_Terrorist,Lemma_terror,Lemma_Westbank,Lemma_Egypt,Lemma_Support,Lemma_Biden,Lemma_Court,Lemma_Food,Lemma_Water,Lemma_Electricity,Lemma_Health,Lemma_Negotiations,Lemma_Militia,Lemma_Family,Lemma_Hostage,Lemma_Refugee,Lemma_Protest,Lemma_Islamic,Lemma_unra,Lemma_Unrwa,Lemma_Diplomatic,Lemma_Jewish,Lemma_Suffering,Lemma_Casualties,Lemma_Death,Lemma_Militant,Lemma_Soldiers,Lemma_Human,Lemma_Prisoners,Lemma_Escalation,Lemma_Fuel,Lemma_Supplies,Lemma_Civilian,Lemma_idf,Lemma_Displace,Lemma_UN,Lemma_Israeli Government,Lemma_October 7th,Lemma_United states,Lemma_Evacuate corridor,Lemma_Terror attacks,Lemma_Release hostages,Lemma_United Nations,Lemma_Israeli military
100 days of war on gaza displaced palestinians feel forgotten_treetagger_output.txt,pLYXvz-Oewk,20240114,324,2,3,0,4,0,0,0,0,0,1,0,1,1,0,0,1,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106th anniversary of the balfour declaration britain’s original sin_treetagger_output.txt,XE4OFWqSieY,20231102,1058,3,2,4,4,0,0,9,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11 killed in israeli bombardment on home in deir el-balah_treetagger_output.txt,W5ZE-IGzX90,20240112,256,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12-year-old girl killed in an israeli attack on nasser hospital in khan younis_treetagger_output.txt,kbE0z41uytc,20231218,1048,5,4,0,4,0,0,3,1,0,3,0,6,6,0,0,0,0,3,19,0,2,9,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-year-old palestinian recounts intimidation and fear at israeli interrogation centre_treetagger_output.txt,N2waoZ6dts4,20231211,341,1,1,0,0,0,0,0,0,1,1,1,0,6,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13 aid trucks roll into northern gaza without incident_treetagger_output.txt,qRYRVNN4Hvw,20240317,1316,10,21,0,3,0,0,0,22,0,5,1,0,1,1,0,1,1,0,3,1,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0
13 people killed in attack on residential building in khan younis_treetagger_output.txt,38wxaqW2nks,20231112,689,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13-year-old nadeen abdullatif loses brother in gaza city, takes shelter in rafah_treetagger_output.txt",72rqUX20xfo,20231230,333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14 palestinians killed in biggest operation of 2023_treetagger_output.txt,SmxJOb1ZT2Q,20231110,284,3,1,1,0,0,0,0,0,2,1,0,4,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 years on gaza blockade brings society to the brink_treetagger_output.txt,kNV2oArb7K8,20220614,430,6,13,1,0,0,0,0,1,2,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15-year-old palestinian girl survives three days trapped under the rubble_treetagger_output.txt,uKgTpVHdiw4,20240307,213,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155 percent increase in violations against children in israel and palestine un_treetagger_output.txt,tAgMu9RL_E4,20240613,838,3,4,3,0,0,0,1,0,7,0,0,7,18,1,0,1,0,1,14,0,0,4,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
"16 palestinians, including children, killed in israeli shelling in rafah_treetagger_output.txt",j8rNySOZyls,20240118,633,0,3,0,0,0,0,0,0,1,0,0,2,4,0,0,5,0,8,2,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
200 days of war no end in sight for israeli bombardment_treetagger_output.txt,tD6t7TnPGA4,20240424,239,4,3,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023 global displacement crisis record 76 million people forced from homes_treetagger_output.txt,B_i0mCWUHxk,20240514,299,2,4,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023 is the worst year on record for the killing of children in the occupied west bank un_treetagger_output.txt,R9HYImIzfaw,20231231,397,1,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"28 killed in israeli attacks targeting eastern, central rafah city_treetagger_output.txt",a9Y9PLKX_H8,20240203,554,1,5,0,0,0,0,0,0,1,0,0,0,1,0,0,6,0,1,2,1,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
2_treetagger_output.txt,,,349,2,6,0,2,0,0,0,3,0,0,0,0,0,0,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
56 years of occupation erosion of rights under israeli military law_treetagger_output.txt,3w85XCClekM,20240219,392,6,2,0,1,0,0,0,0,3,1,1,2,5,0,0,0,1,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
8 israeli soldiers killed in southern gaza ambush; deadliest day in months_treetagger_output.txt,K8AdlUpU9H8,20240615,538,5,1,2,2,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a bleak christmas in gaza christian community in danger of disappearing_treetagger_output.txt,1STnISnIA4k,20231225,267,1,3,0,3,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a brother's final obligation the last journey of hasan_treetagger_output.txt,eR8ycqOwl7s,20240313,182,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a deal has been reached in israel to form a unity government as bombardment of gaza continues_treetagger_output.txt,f2u_1lkRJq0,20231011,644,1,1,0,4,0,0,0,0,3,0,1,0,6,0,0,0,8,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a family ignites a tale of generosity with free bread distribution initiative in rafah_treetagger_output.txt,PybqM1o1X9A,20240125,267,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a few remaining 'critical issues' relate to how some aspects of deal would be implemented blinken_treetagger_output.txt,WxOemoaypl0,20240906,765,10,5,0,1,0,0,0,2,2,0,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
