file_name,video_id,publish_date,total_word_count,..genocide,..Israel,..Gaza,..Hamas,..War,..Iran,..Palestine,..Aid,..Military,Palestinians..,Israelis..,..Palestinian,..Israeli,..Humanitarian,..Ceasefire,..Rafa,..Netanyahu,..Hospital,..Child,..Minister,..Attack,..Kill,..Hezbollah,..Civilian,..Lebanon,..Terrorist,..Terror,..Westbank,..West bank,..Egypt,..Support,..Biden,..Court,..Food,..Water,..Electricity,..Health,..Negotiation,..Militia,..Family,..Hostage,..Refugee,..Protest,..Islamic,..unra,..Unrwa,..Diplomatic,..Jewish,..Suffering,..Casualty,..Death,..Militant,..Soldier,..Human,..Prisoner,..Escalation,..Fuel,..Supply,Supplies..,..idf,..Displace,..UN,..Israeli Government,..October 7th,..United states,..Evacuate corridor,..Terror attack,..Release hostage,..United Nations,..Israeli military,..Human right,..defend itself,..Self-defence,..Self-defense,..self defense,..self defence
106th anniversary of the balfour declaration britain’s original sin_output.json,XE4OFWqSieY,20231102,1117,0,3,2,4,4,0,9,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11 killed in israeli bombardment on home in deir el-balah_output.json,W5ZE-IGzX90,20240112,261,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,3,0,0,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-year-old girl killed in an israeli attack on nasser hospital in khan younis_output.json,kbE0z41uytc,20231218,1100,0,5,4,0,7,0,3,1,0,6,0,10,6,0,0,0,0,3,22,0,4,9,0,0,0,0,0,0,2,0,0,0,0,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12-year-old palestinian recounts intimidation and fear at israeli interrogation centre_output.json,N2waoZ6dts4,20231211,369,0,1,1,0,0,0,0,0,1,2,2,2,6,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13 aid trucks roll into northern gaza without incident_output.json,qRYRVNN4Hvw,20240317,1368,0,10,21,0,3,0,0,22,0,10,2,0,1,1,0,1,1,0,3,1,0,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0
13 people killed in attack on residential building in khan younis_output.json,38wxaqW2nks,20231112,707,0,0,2,0,0,0,0,0,0,3,0,1,1,0,0,0,0,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13-year-old nadeen abdullatif loses brother in gaza city, takes shelter in rafah_output.json",72rqUX20xfo,20231230,369,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14 palestinians killed in biggest operation of 2023_output.json,SmxJOb1ZT2Q,20231110,298,0,3,1,1,0,0,0,0,2,3,0,5,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15 years on gaza blockade brings society to the brink_output.json,kNV2oArb7K8,20220614,458,0,6,13,1,0,0,0,1,2,3,0,4,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15-year-old palestinian girl survives three days trapped under the rubble_output.json,uKgTpVHdiw4,20240307,252,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155 percent increase in violations against children in israel and palestine un_output.json,tAgMu9RL_E4,20240613,880,0,3,4,3,0,0,1,0,7,0,0,7,18,1,0,1,0,1,14,0,2,5,0,2,0,0,1,0,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,9,0,2,0,0,0,0,1,5,0,0,0,0,0,0
"16 palestinians, including children, killed in israeli shelling in rafah_output.json",j8rNySOZyls,20240118,647,0,0,3,0,0,0,0,0,1,0,0,2,4,0,0,5,0,8,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
200 days of war no end in sight for israeli bombardment_output.json,tD6t7TnPGA4,20240424,257,2,4,3,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023 global displacement crisis record 76 million people forced from homes_output.json,B_i0mCWUHxk,20240514,323,0,2,4,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023 is the worst year on record for the killing of children in the occupied west bank un_output.json,R9HYImIzfaw,20231231,415,0,1,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,6,0,1,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
