file_name,video_id,publish_date,total_word_count,..genocide,..Israel,..Gaza,..Hamas,..War,..Iran,..Palestine,..Aid,..Military,Palestinians..,Israelis..,..Palestinian,..Israeli,..Humanitarian,..Ceasefire,..Rafa,..Netanyahu,..Hospital,..Child,..Minister,..Attack,..Kill,..Hezbollah,..Civilian,..Lebanon,..Terrorist,..Terror,..Westbank,..West bank,..Egypt,..Support,..Biden,..Court,..Food,..Water,..Electricity,..Health,..Negotiation,..Militia,..Family,..Hostage,..Refugee,..Protest,..Islamic,..unra,..Unrwa,..Diplomatic,..Jewish,..Suffering,..Casualty,..Death,..Militant,..Soldier,..Human,..Prisoner,..Escalation,..Fuel,..Supply,Supplies..,..idf,..Displace,..UN,..Israeli Government,..October 7th,..United states,..Evacuate corridor,..Terror attack,..Release hostage,..United Nations,..Israeli military
protests in west bank after gaza hospital blast - bbc news_output.json,27aCyoxkk30,20231018,689,0,7,6,1,3,0,0,1,0,0,0,3,1,4,0,1,0,6,0,1,3,1,0,0,0,0,0,0,1,1,0,2,0,4,1,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"public health catastrophe in gaza imminent, world health organization warns – bbc news_output.json",a2YMnuPd3tI,20231031,1987,0,3,20,0,2,0,0,10,0,1,0,1,2,5,4,3,0,5,2,0,0,0,0,2,0,0,0,0,0,3,2,0,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,4,0,0,3,0,0,0,0,0,0,0,0
qatar pm says ‘very minor’ obstacles to hostage release deal remain - bbc news_output.json,LQaxmm_3SqQ,20231119,637,0,3,1,2,0,0,0,0,0,0,0,3,2,1,2,0,1,0,2,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
qatar says israel-hamas truce in gaza extended by two days  bbc news_output.json,l2ATO7hM54o,20231127,1069,0,5,2,2,0,0,0,0,0,0,0,2,2,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,8,11,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
quads born on eve of gaza ceasefire - bbc news_output.json,_sKJ2rU2EcM,20140801,310,0,3,6,2,1,0,0,0,0,0,0,2,2,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
rafah crossing from gaza to egypt reopens for first time since israel siege began - bbc news_output.json,7doGaQevkYo,20231101,986,0,6,13,4,2,0,0,0,0,4,0,4,2,0,0,3,0,1,0,0,0,1,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ramadan begins amid warnings of mass starvation in gaza  bbc news_output.json,NT8WVIy3keA,20240311,1482,0,1,18,3,2,0,0,13,0,7,0,1,3,3,5,1,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
red cross says it has begun transfer of hostages held in gaza by hamas - bbc news_output.json,0vg57uifJ_w,20231124,1267,0,10,5,2,0,0,0,2,1,0,0,5,16,1,2,3,0,2,1,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,4,20,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
red cross says two more hostages released from gaza - bbc news_output.json,DX4g8WPJqH4,20231023,1278,0,4,3,9,0,0,0,0,1,0,0,3,8,0,1,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
release of israeli hostages delayed  bbc news_output.json,eggXy6-ZHQA,20231122,647,0,5,5,5,1,0,0,0,0,0,3,1,4,0,4,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0
reporting gaza the challenge of being a journalist and a resident  bbc news_output.json,cSsrzt3eAm0,20240429,750,0,1,5,1,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
russia and china block us call for immediate gaza ceasefire tied to hostage deal at un  bbc news_output.json,YEQt6bjCfrE,20240322,1431,0,14,6,13,2,0,0,1,2,0,6,1,7,1,10,5,2,0,0,1,2,0,0,1,0,1,0,0,0,1,5,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,1
shocking video of family held captive by hamas after killing teenage daughter - bbc news_output.json,Ch6T9oR6tro,20231023,418,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smoke rises over gaza - bbc news_output.json,nzkaeRGfEA8,20140716,286,0,4,5,7,1,0,0,0,2,0,0,1,4,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
son of al jazeera bureau chief wael al-dahdouh killed in gaza  bbc news_output.json,95L86YmPr5g,20240107,547,0,0,6,1,3,0,0,0,0,0,2,0,2,1,0,1,0,1,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
special report  inside gaza with israeli forces - bbc news_output.json,zhBM23x-nhE,20231108,1105,0,21,12,9,6,0,1,0,5,11,2,5,9,1,0,0,1,0,2,3,1,0,0,4,0,0,0,0,3,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
support for hamas grows in occupied west bank  bbc news_output.json,aejuPklulac,20231212,455,0,6,2,5,2,0,0,0,1,3,2,3,4,0,0,0,0,4,1,0,2,2,0,0,0,0,0,0,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surgeon says gaza's main hospital has lost power and is under constant fire - bbc news_output.json,o-5xBS1HJl4,20231111,1217,0,8,12,11,0,0,0,0,2,0,4,0,6,0,3,0,1,20,0,1,1,3,0,4,0,0,1,0,0,0,0,0,0,2,2,3,3,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0
"tanker hit off india coast by drone from iran, says us  bbc news_output.json",G7Dst4vFft8,20231224,565,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
tanks and infantry raid gaza as israel prepares battlefield for ground offensive - bbc news_output.json,UUYCx98BqHk,20231026,553,0,9,6,2,3,0,0,0,1,1,5,2,2,1,0,0,1,0,0,1,2,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
the children suffering under israel’s onslaught - bbc news_output.json,Wu9Z5pC_FzI,20231030,329,0,1,4,1,2,0,0,0,0,2,0,0,1,0,0,1,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
the irish troops watching israel's hidden war - bbc news_output.json,5Cspyt4_Bdg,20231127,363,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0
the israel-gaza battles raging on tiktok and x - bbc news_output.json,8k5yCvOJDjk,20231127,669,0,5,3,1,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
the palestinian olympic athletes competing in paris 2024  bbc news_output.json,GeWhdciNggU,20240728,557,0,0,5,0,6,0,1,0,0,2,0,2,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the rafah crossing is the southernmost point of exit from gaza_output.json,,,193,0,5,8,2,0,0,0,1,0,0,0,0,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the road back to gaza cyclist’s journey to fund field hospital   bbc news_output.json,7uZq5ucJwQg,20240625,326,1,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the un said thousands in gaza have broken into aid depots_output.json,,,135,0,0,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
three british workers among those killed in gaza aid strike  bbc news_output.json,zFulFkbOa8A,20240402,1702,0,8,12,0,5,0,0,11,4,0,2,2,4,0,0,0,1,2,3,4,2,5,0,1,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
"three civilians killed in west bank-jordan border attack, say israeli officials  bbc news_output.json",mX7VGIEDW3M,20240908,690,0,5,2,0,1,0,0,0,0,0,0,0,4,0,1,0,1,0,0,2,1,4,3,3,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
three palestinian students shot near vermont campus  bbc news_output.json,mDwF_K-Fe3U,20231127,459,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tony blair on whether israel will allow aid into gaza - bbc news_output.json,h8OCreZy_Zs,20141012,678,0,1,8,1,1,0,0,0,0,2,0,8,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
