file_name,video_id,publish_date,total_word_count,..genocide,..Israel,..Gaza,..Hamas,..War,..Iran,..Palestine,..Aid,..Military,Palestinians..,Israelis..,..Palestinian,..Israeli,..Humanitarian,..Ceasefire,..Rafa,..Netanyahu,..Hospital,..Child,..Minister,..Attack,..Kill,..Hezbollah,..Civilian,..Lebanon,..Terrorist,..Terror,..Westbank,..West bank,..Egypt,..Support,..Biden,..Court,..Food,..Water,..Electricity,..Health,..Negotiation,..Militia,..Family,..Hostage,..Refugee,..Protest,..Islamic,..unra,..Unrwa,..Diplomatic,..Jewish,..Suffering,..Casualty,..Death,..Militant,..Soldier,..Human,..Prisoner,..Escalation,..Fuel,..Supply,Supplies..,..idf,..Displace,..UN,..Israeli Government,..October 7th,..United states,..Evacuate corridor,..Terror attack,..Release hostage,..United Nations,..Israeli military,..Human right,..defend itself,..Self-defence,..Self-defense,..self defense,..self defence
israeli soldier records himself blowing up a mosque_output.json,1D3uQbiE8No,20240216,965,0,4,6,0,6,0,0,0,3,0,0,0,6,0,0,0,0,14,0,0,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,1,1,0,12,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0
israeli spokesperson reveals what's needed to extend israel-hamas truce_output.json,8ucI0Zl1mpk,20231127,1817,0,6,9,17,1,0,0,0,3,0,0,0,13,1,0,0,0,0,10,1,1,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,1,0,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0
israeli teen opens up about choosing jail over military service_output.json,fhzEDGmWJV4,20240402,1664,0,6,9,1,15,0,0,8,9,0,1,2,10,0,1,0,0,7,2,1,1,3,1,3,1,2,1,0,0,0,0,0,0,2,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"israeli troops have carried out local raids in gaza, idf says_output.json",3PntaOSdyto,20231013,1800,0,7,13,7,0,0,0,0,6,0,6,0,8,2,0,0,0,0,2,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,1,0,0,1,0,2,2,0,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
israeli troops kill 8-year-old boy during raid of west bank refugee camp_output.json,SkEwZOBeU3w,20231130,1167,0,4,5,1,3,0,0,0,2,6,5,10,11,0,0,0,0,1,0,0,1,2,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,4,0,1,0,0,0,0,1,0,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0
israeli whistleblowers detail abuse of palestinians in shadowy detention center_output.json,Rh83jIwZjyY,20240510,1046,0,3,4,4,1,0,0,0,6,8,4,4,9,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,0
israel’s cabinet votes to approve hostage release deal_output.json,eJfzS5OzHxA,20231122,738,0,1,1,1,1,0,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
israel’s military amasses near gaza_output.json,2Z8fvTfQgUs,20231010,1292,0,4,7,12,1,0,0,0,5,0,2,1,5,0,0,0,1,0,0,1,4,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"israel’s military tells 100,000 residents in eastern rafah to ‘evacuate immediately’_output.json",Dr-OKI2NEng,20240506,1787,0,16,7,2,0,0,0,1,5,5,0,3,4,2,1,0,2,0,2,3,1,0,0,8,0,2,0,0,0,0,2,4,0,1,1,0,0,2,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,0,4,0,1,1,0,0,0,1,1,0,0,0,0,0,0
jake sullivan clarifies us involvement in operation to rescue four israeli hostages_output.json,hRxrebQrR4o,20240609,1831,0,4,9,20,3,0,0,1,5,2,4,4,4,1,7,0,0,2,0,0,0,7,0,8,0,1,0,0,0,1,3,6,1,0,0,0,1,0,0,2,22,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
john bolton biden's red line on iran is disappearing_output.json,8IsuRY6leu4,20231106,1711,0,12,5,7,5,7,0,6,7,0,5,0,2,4,0,0,1,1,1,1,7,3,0,9,0,2,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0
john bolton truce is a bad deal for israel_output.json,EKCtoGV4SmU,20231124,1451,0,19,3,15,2,0,0,0,3,0,6,1,6,0,0,0,0,0,0,2,0,0,2,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0
jon stewart calls out us on gaza stance_output.json,,,1244,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
jordan says ceasefire in gaza only way to prevent region from the 'abyss of war'_output.json,y-LXLMj8sRc,20240807,1590,0,7,4,5,5,12,1,0,1,0,0,0,1,0,1,0,2,0,0,3,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
