file_name,video_id,publish_date,total_word_count,..genocide,..Israel,..Gaza,..Hamas,..War,..Iran,..Palestine,..Aid,..Military,Palestinians..,Israelis..,..Palestinian,..Israeli,..Humanitarian,..Ceasefire,..Cease fire,..Rafa,..Netanyahu,..Hospital,..Child,..Minister,..Attack,..Kill,..Hezbollah,..Civilian,..Lebanon,..Terrorist,..Terror,..Westbank,..West bank,..Egypt,..Support,..Biden,..Court,..Food,..Water,..Electricity,..Health,..Negotiation,..Militia,..Family,..Hostage,..Refugee,..Protest,..Islamic,..unra,..Unrwa,..Diplomatic,..Jewish,..Suffering,..Casualty,..Death,..Militant,..Soldier,..Human,..Prisoner,..Escalation,..Fuel,..Supply,Supplies..,..idf,..Displace,..UN,..Israeli Government,..October 7th,..United states,..Evacuate corridor,..Terror attack,..Release hostage,..United Nations,..Israeli military,..Human right,..defend itself,..Self-defence,..Self-defense,..self defense,..self defence
all you need to know about the killing of hamas political leader haniyeh  dw news_output.json,8zB4HN2h01I,20240731,4039,0,49,10,19,11,31,0,1,2,0,2,3,8,1,13,0,0,7,0,1,6,10,17,9,0,1,2,3,0,0,0,4,2,0,0,0,0,0,3,2,1,5,2,0,4,0,0,3,0,0,0,5,1,0,0,0,7,0,0,0,0,0,3,1,5,6,0,3,0,0,0,0,0,0,0,0,0
"amid fears of israeli offensive, parents struggle to provide for their children in rafah  dw news_output.json",kdfIJyfhbwI,20240220,341,0,1,5,1,1,0,0,3,0,0,0,0,2,1,0,0,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
an israeli and a palestinian state will the two sides listen to the eu  dw news_output.json,PdVMtjFu5Uc,20240123,2591,0,19,18,11,5,0,2,0,2,9,2,10,17,2,3,0,6,4,3,2,23,3,2,0,1,0,1,2,0,4,1,1,0,0,0,0,0,1,0,0,3,11,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,2,0,2,1,2,0,2,0,1,0,0,1,0,0,0,0
another strike reported at jabaliya refugee camp in gaza  dw news_output.json,ltul06q2pd0,20231101,1921,0,14,17,8,4,0,0,2,1,5,0,6,6,0,0,0,1,0,4,1,0,4,6,0,1,0,0,1,0,0,5,0,0,0,0,0,0,2,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
anti-war protesters interrupt biden's campaign speech  dw news_output.json,lvhBl-GjKwA,20240108,111,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"antony blinken visits israel, reiterates us support i dw news_output.json",SB5_vNQgTKs,20231012,2514,0,43,12,11,2,4,1,1,0,10,8,5,5,3,0,0,1,2,0,1,2,9,4,0,4,0,5,1,0,0,2,15,9,0,0,0,0,0,1,0,0,4,0,2,2,0,0,2,7,0,0,0,2,0,0,0,1,0,0,0,0,0,2,0,0,6,0,1,0,0,0,0,2,0,0,0,0
appeal to avoid an escalation of the conflict  dw news_output.json,P7vXJY21Fow,20240419,1012,0,16,2,0,1,13,0,0,0,0,6,0,2,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
are israel and lebanon inching closer to a full-scale war  dw news_output.json,DVTYyvQvLTM,20240104,964,0,20,4,15,7,1,0,1,3,0,0,0,5,0,0,0,0,0,0,0,0,3,1,8,0,11,2,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
are we already in the midst of a regional war in the middle east_output.json,hQ4fJ1Ey4rU,20240118,2578,0,36,11,13,15,23,1,1,2,2,2,2,8,0,6,0,0,0,0,0,1,10,0,3,0,5,3,2,0,0,0,2,2,0,0,0,0,1,0,1,1,3,0,0,0,0,0,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,1,1,3,4,0,1,0,0,0,0,0,0,0,0,0
are we getting an accurate picture of what is happening in gaza  dw news_output.json,BfMO5snTG2I,20240221,1163,0,3,17,2,7,0,0,0,0,3,0,7,4,0,0,0,0,0,2,0,0,1,3,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,4,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
army chief iran's missile attack on israel's territory will be met with a response  dw news_output.json,VrgBQlq9w_o,20240416,1656,0,35,1,1,16,24,0,0,5,0,0,0,4,0,0,0,0,4,0,0,3,21,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
assessing the war's impact on the israeli economy  dw business_output.json,SigTwH0T5KY,20231117,2409,0,15,3,0,12,0,0,0,1,0,2,0,5,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"at least 1 dead after ramming, stabbing incident near tel aviv  dw news_output.json",KTJ38RPZlGs,20240115,363,0,7,4,6,2,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
at least 3 dead in shooting at jerusalem bus stop  dw news_output.json,bG1PL37OAiM,20231130,1627,0,6,4,6,1,0,0,0,0,0,1,4,7,0,3,0,0,0,3,1,0,4,3,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
attacks and retaliatory strikes why the red sea conflict is so dangerous  dw news_output.json,onUWmPAb6Fw,20240205,1972,0,9,8,2,12,11,0,0,4,2,0,0,1,0,0,0,0,0,0,0,0,12,1,0,0,3,0,0,0,0,0,2,3,1,0,0,0,0,0,6,1,0,0,1,0,0,0,0,0,0,2,0,1,0,1,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0
authorities open investigation into dam collapse  dw news_output.json,HtIa2H9MU-4,20240406,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baerbock says world court ruling on gaza is binding  dw news_output.json,BqFOwduKHSA,20240527,64,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
behind israel’s use of unguided munitions in gaza   dw analysis_output.json,X7SqqvhmyaM,20231222,1511,0,11,11,7,1,0,0,0,9,0,8,0,6,1,0,0,0,0,0,1,0,2,2,0,6,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0
benjamin netanyahu at odds with his war cabinet and military generals  dw news_output.json,IUTqD0xWG5A,20231026,1902,0,15,7,7,4,0,0,1,7,0,6,1,8,2,0,0,0,10,0,0,6,5,1,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
benny gantz at the white house how united is israel's government on gaza  dw news_output.json,V2IX9tnzhyI,20240306,1082,0,3,6,2,4,0,0,6,1,0,0,0,9,1,1,0,0,5,1,2,3,1,0,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,2,4,1,1,0,1,0,0,0,0,0,0,0,0,0
benny gantz slams netanyahu's 'empty promises' as he quits israel's war cabinet  dw news_output.json,87jeUSQ8jHg,20240610,685,0,3,3,1,1,0,0,0,0,0,1,0,2,0,0,0,0,9,0,0,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
berlin hosts large rally in solidarity with israel  dw news_output.json,sjbwH5MKwtI,20231022,1674,0,7,4,7,0,0,1,0,0,6,5,1,4,2,0,0,0,0,0,1,0,8,0,0,0,0,0,1,0,0,0,8,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,11,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
biden calls for 'credible plan' by israel to ensure safety of civilians in rafah  dw news_output.json,Cjh8TtaifyY,20240213,1766,0,14,4,5,3,0,0,0,4,5,5,5,9,0,5,0,9,4,0,0,0,0,0,0,5,0,0,0,0,0,10,2,11,0,1,1,0,0,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0
biden hamas and putin both seek to 'completely annihilate a neighboring democracy'  dw news_output.json,YQCy4mFyH54,20231020,874,0,10,2,1,2,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
biden optimistic about gaza cease-fire 'bridging proposal' what are the snags  dw news_output.json,_Uzi8jSAkE4,20240817,1699,0,12,12,14,7,5,0,0,3,0,2,1,8,0,11,0,0,2,0,0,0,3,3,3,0,0,0,1,0,1,5,0,6,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0
blinken heads to middle east as israel says it will change military tactics in gaza_output.json,kQhahxoGMl0,20240105,2507,0,47,17,12,9,0,0,4,1,5,0,8,10,1,2,0,0,2,0,0,2,3,1,0,3,1,3,1,0,4,1,5,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,10,0,1,0,0,1,0,0,0,0,0,0
blinken heads to mideast how could he push israel toward cease-fire  dw news_output.json,QKweW3yiG-U,20240818,939,0,6,6,4,2,0,0,0,2,0,8,1,8,0,6,0,0,0,1,0,5,2,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
blinken in israel can the us dictate a less intense war in gaza  dw news_output.json,6CVqQiPDJzM,20240109,2811,0,17,24,3,14,4,0,9,0,6,6,14,13,1,0,0,0,6,4,1,9,3,0,1,6,3,0,1,1,5,0,4,0,0,0,0,0,4,0,0,4,10,0,0,0,0,0,1,0,1,0,0,2,0,0,0,7,0,3,3,0,4,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0
blinken in israel says netanyahu backs us truce plan  dw news_output.json,J208Jszbnp0,20240611,746,0,4,5,4,3,0,0,0,0,2,2,0,4,0,3,0,0,2,0,0,1,1,1,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0,3,7,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0
blinken in israel to discuss allowing more aid into gaza  dw analysis_output.json,XxCOzdpwKX8,20231103,3388,0,13,32,5,8,0,0,4,1,0,3,3,4,12,6,0,3,2,14,2,8,2,2,1,4,5,1,0,0,0,7,2,2,0,0,1,1,12,0,0,4,2,1,0,0,2,0,0,0,1,2,0,0,0,1,0,0,2,4,3,0,1,6,0,1,8,0,0,0,1,0,0,3,0,0,0,0
blinken in israel what can us diplomacy do to end the war  dw news_output.json,8HPzQxnqNz0,20231016,1057,0,7,6,8,3,1,0,0,3,3,9,5,3,3,0,0,0,1,0,0,1,1,1,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
blinken in saudi arabia for gaza cease-fire talks  dw news_output.json,XDAVCAoFuto,20240429,1307,0,9,8,11,5,0,0,2,1,0,0,2,1,2,3,0,5,2,0,2,2,1,0,0,0,0,0,1,0,0,3,1,1,0,0,0,0,0,5,0,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
blinken in the middle east what are gaza cease-fire deal breakers  dw news_output.json,cAW0jx0WDOA,20240819,979,0,7,7,10,1,1,0,0,2,0,0,1,7,0,4,0,0,2,0,0,1,1,0,1,0,0,0,1,0,0,1,0,2,0,0,0,0,0,2,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0
blinken on diplomacy tour amid fears of escalation in middle east conflict  dw news_output.json,0rdutewdOB8,20240107,845,0,7,5,3,6,0,0,1,2,2,0,1,2,1,1,0,0,0,0,1,1,0,2,1,0,2,0,1,0,0,0,0,3,0,2,1,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
blinken on yet another middle east tour what's on the agenda  dw news_output.json,MNl2XPJI1kc,20240205,963,0,9,8,7,1,0,0,1,0,5,0,4,3,3,5,0,0,1,2,0,0,4,1,0,0,0,0,1,0,2,2,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
blinken us circulated un draft resolution on gaza truce  dw news_output.json,NC0G3GwQgTM,20240321,992,0,9,6,7,1,0,0,1,0,2,0,3,1,1,11,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2,1,0,0,4,0,0,0,3,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0
blinken visits ankara to discuss gaza as turkey-israel tensions soar  dw news_output.json,-SfSJIFcFsU,20231106,1434,0,12,5,6,2,4,0,1,1,0,0,0,5,2,2,0,0,1,0,0,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
blinken ‘an extraordinarily generous proposal on the part of israel’  dw news_output.json,yXWX1P6Lc98,20240429,1836,0,14,13,27,3,0,0,0,3,4,2,6,17,1,16,0,11,2,0,1,2,3,2,0,1,0,1,0,0,0,2,0,1,1,0,0,0,0,3,0,3,11,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,4,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
